136 경상남도 통영시 169805 239220966.3 
137 광주광역시 광산구 151626 222897259.8 
138 부산광역시 기장군 103193 218282820.7 
139 경상남도 창원시 의창구 136241 211198498.1 
140 충청남도 천안시 서북구 114978 197660589.4 
141 대구광역시 동구 102683 182164816.2 
142 부산광역시 강서구 111200 181634872.6 
143 강원도 동해시 57199 180196095.1 
144 대전광역시 유성구 71630 177279478.3 
145 인천광역시 옹진군 66288 172072118.9 
146 경기도 고양시 덕양구 99238 165555514.2 
147 울산광역시 북구 72173 157337492.1 
148 대전광역시 동구 68527 136672764.5 
149 경기도 시흥시 89656 135014600.9 
150 인천광역시 중구 60229 131288370.3 
151 경상남도 창원시 진해구 63866 122519395.2 
152 광주광역시 북구 88476 120299468.2 
153 인천광역시 서구 71633 114005951.7 
154 전라북도 전주시 덕진구 101149 110931824.8 
155 강원도 속초시 37986 105626024.4 
156 경기도 동두천시 39352 95659108.2 
157 대전광역시 서구 57061 95473252.4 
158 전라북도 전주시 완산구 91832 94686683.3 
159 대구광역시 북구 73296 94078613.3 
160 경기도 하남시 59601 93032938.5 
161 경기도 안산시 단원구 51585 91503303.7 
162 경상남도 창원시 마산회원구 51944 90581413.8 
163 충청북도 청주시 76417 940279213.8
164 경상남도 창원시 성산구 23359 82171569.9 
165 충청북도 증평군 40724 81830309.6 
166 경기도 용인시 기흥구 46452 81675453.0 
194 경기도 용인시 수지구 25036 42099232.3 
103 경기도 용인시 처인구 225673 467555684.3 
167 경기도 의정부시 54852 81542065.8 
168 대구광역시 수성구 65624 76464885.7 
169 경상북도 울릉군 18002 72862212.0 
170 울산광역시 남구 55567 72696062.4 
171 경기도 성남시 분당구 24151 69771695.3 
173 대전광역시 대덕구 42298 68680802.8 
174 부산광역시 금정구 46771 65265858.7 
175 대구광역시 달서구 54240 62341087.1 
176 대전광역시 중구 50682 62131303.7 
177 광주광역시 남구 63159 60994653.1 
178 충청남도 계룡시 17378 60711347.0 
179 경기도 고양시 일산동구 46924 59930990.3 
180 경기도 안산시 상록구 40338 57992549.7 
181 인천광역시 남동구 45030 57009225.2 
182 경기도 의왕시 28977 53991233.7 
183 부산광역시 해운대구 41370 51467208.9 
184 전라남도 목포시 71559 50595165.4 
185 광주광역시 동구 40458 49195517.5 
186 광주광역시 서구 50093 47789619.9 
187 경기도 수원시 권선구 52303 47175242.3 
188 서울특별시 서초구 36194 47001797.9 
189 인천광역시 계양구 35621 45569113.5 
190 인천광역시 연수구 14059 45568273.5 
191 경기도 성남시 수정구 44533 45509392.6 
192 경기도 오산시 38690 42731717.9 
193 경기도 고양시 일산서구 27911 42564686.1 
195 부산광역시 사하구 42987 41725118.5 
196 서울특별시 강서구 47140 41427231.4 
197 서울특별시 강남구 35612 39500873.4 
198 부산광역시 북구 23746 39365452.7 
199 경기도 광명시 32818 38513614.1 
200 울산광역시 중구 44780 37003527.8 
201 경기도 안양시 만안구 27011 36538511.6 
202 경기도 군포시 22470 36459849.5 
203 부산광역시 사상구 25767 36087187.9 
204 울산광역시 동구 21209 36031339.9 
205 경기도 과천시 15757 35866371.5 
206 서울특별시 노원구 21790 35435821.6 
207 서울특별시 송파구 33445 33874807.9 
208 경기도 수원시 장안구 29835 33344013.7 
209 경기도 구리시 27244 33311155.7 
210 인천광역시 부평구 45377 32002420.2 
211 서울특별시 은평구 59882 29702017.7 
212 부산광역시 부산진구 67593 29694082.7 
213 서울특별시 관악구 46451 29569671.4 
214 경기도 수원시 영통구 15863 27673146.0 
215 부산광역시 남구 48807 26808030.7 
216 경기도 성남시 중원구 28855 26410518.3 
217 인천광역시 남구 56112 24839807.7 
218 서울특별시 강동구 32294 24587197.1 
219 서울특별시 성북구 59881 24578177.1 
220 서울특별시 영등포구 44428 24528724.9 
221 서울특별시 종로구 52095 23907208.5 
222 서울특별시 마포구 49672 23837679.9 
223 서울특별시 강북구 41546 23597083.9 
224 경기도 안양시 동안구 15112 21924233.2 
225 서울특별시 용산구 46042 21868765.4 
226 서울특별시 도봉구 23463 20702811.1 
227 경기도 부천시 원미구 25172 20578642.7 
228 서울특별시 구로구 37317 20118738.7 
229 경기도 부천시 오정구 20995 20034244.1 
230 서울특별시 중랑구 41080 18497205.6 
231 서울특별시 서대문구 49231 17607426.8 
232 대구광역시 남구 36844 17435317.3 
233 서울특별시 양천구 24308 17403552.8 
234 대구광역시 서구 48102 17353160.1 
235 서울특별시 광진구 33712 17062331.7 
236 서울특별시 성동구 33558 16853805.2 
237 부산광역시 동래구 38498 16634045.3 
238 서울특별시 동작구 40498 16353870.7 
239 서울특별시 동대문구 46643 14210790.6 
240 부산광역시 영도구 37631 14128841.4 
241 부산광역시 서구 42287 13926827.3 
242 서울특별시 금천구 20351 13016507.6 
243 경기도 수원시 팔달구 35492 12856591.2 
244 경기도 부천시 소사구 17743 12822831.1 
245 부산광역시 연제구 28130 12078999.6 
246 부산광역시 수영구 22791 10205442.7 
247 서울특별시 중구 36762 9960055.6 
248 부산광역시 동구 42391 9732670.0 
249 인천광역시 동구 19287 7189826.3 
250 대구광역시 중구 33560 7055893.5 
251 부산광역시 중구 17409 2825943.6 
