종로구 160070 79519 80551 165207 82274 82933 168382 83931 84451 서울 
오산시 205460 105145 100315 200291 102396 97895 193892 98983 94909
시흥시 396765 208141 188624 399485 209254 190231 401149 210087 191062
군포시 286344 142559 143785 286841 142833 144008 287294 143186 144108
의왕시 159772 79919 79853 154757 77506 77251 149607 75003 74604
하남시 145096 74020 71076 146269 74629 71640 148397 75787 72610
용인시 941477 467945 473532 915959 455451 460508 896044 445667 450377
파주시 401718 204347 197371 394201 200716 193485 378790 193479 185311
이천시 205479 104253 101226 204917 103896 101021 204566 103617 100949
안성시 182173 92935 89238 181608 92627 88981 180743 92204 88539
김포시 312305 157341 154964 287432 145275 142157 256994 130283 126711
화성시 530251 273731 256520 525490 271219 254271 516765 266519 250246
광주시 286699 147488 139211 275656 141695 133961 265222 136415 128807
양주시 199143 101287 97856 200310 102085 98225 200360 102266 98094
포천시 156603 82034 74569 157559 82491 75068 157967 82751 75216
여주시 109343 55211 54132 109550 55348 54202 109120 55175 53945
연천군 45610 23708 21902 45599 23631 21968 44900 23135 21765
가평군 61017 31284 29733 60794 31298 29496 59358 30510 28848
양평군 103620 52240 51380 102193 51497 50696 99430 50157 49273
춘천시 274455 135377 139078 273364 134874 138490 272805 134600 138205 강원도
원주시 324837 161588 163249 323885 161117 162768 320536 159522 161014
강릉시 216806 107689 109117 217741 108318 109423 217571 108294 109277
동해시 95143 48104 47039 93897 47387 46510 95804 48289 47515
태백시 48794 24783 24011 49493 25123 24370 50176 25520 24656
속초시 83109 40929 42180 83579 41165 42414 83745 41260 42485
삼척시 73023 37384 35639 72463 36847 35616 72312 36681 35631
홍천군 70638 36181 34457 69727 35548 34179 69899 35639 34260
횡성군 44937 22866 22071 44615 22676 21939 44360 22576 21784
영월군 40150 20478 19672 40155 20448 19707 40199 20480 19719
평창군 43666 22298 21368 43627 22305 21322 43577 22334 21243
정선군 39985 20675 19310 39915 20686 19229 40181 20815 19366
철원군 47473 24418 23055 47968 24776 23192 48084 24949 23135
화천군 25079 13529 11550 25020 13575 11445 24945 13630 11315
양구군 23594 12540 11054 22799 12088 10711 22285 11758 10527
인제군 32517 17345 15172 32456 17379 15077 31970 17014 14956
고성군1 30398 16184 14214 30124 15792 14332 30057 15635 14422
양양군 27659 14130 13529 27802 14169 13633 27942 14282 13660
청주시 827906 415271 412635 821632 411995 409637 820315 411242 409073 충북
충주시 208115 104785 103330 208447 104956 103491 208433 104916 103517
제천시 137204 68929 68275 137521 69088 68433 137689 69287 68402
보은군 34318 17098 17220 34438 17168 17270 34717 17344 17373
옥천군 52763 26557 26206 53244 26784 26460 53496 26965 26531
영동군 50539 25102 25437 50663 25268 25395 50621 25230 25391
증평군 34546 17606 16940 34279 17511 16768 34009 17480 16529
진천군 64606 33519 31087 63458 32862 30596 63051 32604 30447
괴산군 38059 19341 18718 37713 19139 18574 37333 18896 18437
음성군 93505 48991 44514 92980 48743 44237 91644 48030 43614
단양군 31171 15663 15508 31253 15772 15481 31595 15987 15608
천안시 591089 300141 290948 581988 295203 286785 571377 289642 281735 충남
공주시 116369 58728 57641 117298 59145 58153 124748 62989 61759
보령시 104938 53010 51928 105559 53272 52287 106421 53685 52736
아산시 287073 146565 140508 280490 143069 137421 274523 139635 134888
서산시 165837 84858 80979 163315 83439 79876 161489 82448 79041
논산시 125844 62954 62890 126653 63212 63441 127533 63800 63733
계룡시 40957 20304 20653 41550 20633 20917 42942 21321 21621
당진시 159615 82925 76690 155104 80427 74677 - - -
금산군 55441 28116 27325 55715 28232 27483 56030 28393 27637
부여군 72547 36193 36354 73259 36570 36689 74004 36945 37059
서천군 58441 28754 29687 58920 29041 29879 59541 29285 30256
청양군 32155 16076 16079 32087 16097 15990 32291 16222 16069
홍성군 89704 44702 45002 88415 44035 44380 88108 43842 44266
예산군 85205 42660 42545 85876 43033 42843 86421 43335 43086
태안군 62416 31435 30981 62548 31404 31144 62747 31560 31187
전주시 650082 320998 329084 648863 320457 328406 645894 318945 326949 전북 
군산시 278319 141436 136883 278341 141486 136855 275659 140108 135551
익산시 306539 153261 153278 306469 153203 153266 309804 155042 154762
정읍시 118328 58508 59820 119392 59092 60300 120466 59639 60827
남원시 86460 42415 44045 87000 42730 44270 87455 42944 44511
김제시 91218 45207 46011 92317 45830 46487 93111 46202 46909
완주군 86978 44635 42343 86164 44165 41999 84660 43389 41271
진안군 26703 13404 13299 26963 13551 13412 28473 14330 14143
무주군 25398 12565 12833 25321 12553 12768 25863 12830 13033
장수군 23243 11535 11708 23191 11522 11669 23215 11534 11681
임실군 29739 15027 14712 29956 15161 14795 30789 15643 15146
순창군 30272 14658 15614 30055 14567 15488 29497 14416 15081
고창군 60522 29955 30567 60440 29951 30489 60065 29689 30376
부안군 59164 29290 29874 58869 29118 29751 59080 29291 29789
목포시 240936 120160 120776 245073 122512 122561 244871 122415 122456 전남 
여수시 291366 147539 143827 292217 147922 144295 292750 148115 144635
순천시 275668 137674 137994 273798 136833 136965 272201 136084 136117
나주시 87754 44123 43631 88067 44298 43769 88243 44403 43840
광양시 151621 77990 73631 150837 77678 73159 150725 77670 73055
담양군 47365 23833 23532 47612 24060 23552 47819 24113 23706
곡성군 31009 15085 15924 30878 14997 15881 31332 15224 16108
구례군 27115 13196 13919 27077 13193 13884 27422 13380 14042
고흥군 70631 34003 36628 71560 34464 37096 72607 35055 37552
보성군 46385 22395 23990 47050 22690 24360 47894 23120 24774
화순군 67829 33420 34409 68378 33729 34649 68985 34112 34873
장흥군 43004 20870 22134 42672 20697 21975 42552 20582 21970
